itemonagendaid,GL_rec
14016145,For
14016146,For
14016147,For
14016148,For
14016149,For
14016150,For
14016151,For
14016152,For
14016153,For
14016154,For
14016155,For
14016156,For
14016157,For
14016158,For
14016159,Against
14016160,For
14016161,Against
7526010,For
7526011,For
7526012,For
7526013,For
7868518,For
7868519,For
7868520,For
7868521,For
8206796,For
8206797,For
8206798,For
8206799,For
8206800,For
8206801,For
8563185,For
8563186,For
8563187,For
8563188,For
8563189,For
8563190,For
8563191,1 Year
8563192,For
8998761,For
8998762,For
8998763,For
9432487,For
9432488,For
9432489,For
9432490,For
10449931,For
10449932,For
10449933,For
10449934,For
10449935,For
10449936,For
10969922,For
10969923,For
10969924,For
10969925,For
10969926,For
11588319,For
11588320,For
11588321,Withhold
11588322,For
11588323,1 Year
11588324,For
12384853,For
12384854,For
12384855,For
12384856,For
12384857,For
13085660,For
13085661,For
13085662,For
13085663,For
13085664,For
13085665,For
13085666,For
13777421,For
13777422,For
13777423,For
13777424,For
13777425,For
14485821,For
14485822,For
14485823,For
14485824,For
14485825,For
7617632,For
7617633,For
7617634,For
7617635,For
11165772,For
11165773,For
11165774,For
11165775,For
11165776,For
11165777,1 Year
11165778,For
11876692,For
11876693,For
11876694,For
11876695,For
11876696,For
12601000,For
12601001,For
12601002,For
12601003,For
12601004,For
12601005,For
12601006,For
12601007,For
7359062,For
7359063,For
7359064,For
7359065,For
7359066,For
7359067,Against
7359068,Against
7359069,For
7359070,For
7359071,For
7359072,For
7359074,For
7359075,Against
7680245,For
7680246,For
7680247,For
7680248,For
7680249,For
7680250,For
7680251,Against
7680252,Against
7680253,For
7680254,For
7680255,For
7680257,For
7680256,For
8763256,For
8763257,For
8763258,For
8763259,For
8763260,For
8763261,For
8763262,Against
8763263,For
8763264,For
8763265,For
8763266,For
8763267,For
8763268,For
8763269,Against
9221434,For
9221435,For
9221436,For
9221437,For
9221438,For
9221439,For
9221440,For
9221441,For
9221442,For
9221443,For
9221447,For
9221448,For
9666290,For
9666291,For
9666292,For
9666293,For
9666294,Against
9666295,For
9666296,For
9666297,For
9666298,For
9666299,For
9666300,For
9666301,For
10153340,For
10153341,For
10153342,For
10153343,For
10153344,For
10153345,For
10153346,For
10153347,For
10153348,For
10153349,For
10153358,For
10153359,For
10680813,For
10680814,For
10680815,For
10680816,For
10680817,For
10680818,For
10680819,For
10680820,For
10680821,For
10680822,For
10680823,For
10680824,For
10680825,For
10680826,For
10680827,For
11277031,For
11277032,For
11277033,For
11277034,For
11277035,For
11277036,For
11277037,For
11277038,For
11277039,1 Year
11277040,For
11277041,For
11988450,For
11988451,For
11988452,For
11988453,For
11988454,For
11988455,For
11988456,For
11988457,For
11988458,For
7289824,For
7289825,For
7289826,For
7289827,For
7289828,For
7289829,For
7289830,For
7289831,For
7289832,For
7289833,For
7289834,Against
7289835,For
7289836,For
7289837,Against
7289838,Against
7289860,Against
7628030,For
7628031,For
7628032,For
7628033,For
7628034,For
7628035,For
7628036,For
7628037,For
7628038,For
7628039,For
7628040,For
7628041,For
7628042,For
7628043,For
7628044,Against
7628045,For
7970623,For
7970624,For
7970625,For
7970626,For
7970627,For
7970628,For
7970629,For
7970630,For
7970631,For
7970632,For
7970633,For
7970634,For
8316824,For
8316825,For
8316826,For
8316827,For
8316828,For
8316829,For
8316830,For
8316831,For
8316832,For
8316833,For
8316834,For
8316835,For
8316836,For
8316837,For
8316838,1 Year
8682945,For
8682946,For
8682947,For
8682948,For
8682949,For
8682950,For
8682951,For
8682952,For
8682953,For
8682954,For
8682955,For
8682956,For
8682957,For
8682958,For
8682959,For
9139806,For
9139807,For
9139808,For
9139809,For
9139810,For
9139811,For
9139812,For
9139813,For
9139814,For
9139815,For
9139816,For
9139817,For
9139839,For
9139819,For
9139820,For
9139841,For
9576999,For
9577000,For
9577001,For
9577002,For
9577003,For
9577004,For
9577005,For
9577006,For
9577007,For
9577008,For
9577009,For
9577010,For
9577011,For
9577012,For
9577013,For
9577014,For
9577015,For
9577016,For
9577017,For
10066903,For
10066904,For
10066905,For
10066906,For
10066907,For
10066908,For
10066909,For
10066910,For
10066911,For
10066912,For
10066913,For
10066914,For
10066915,For
10066916,For
10066917,For
10609660,For
10609661,For
10609662,For
10609663,For
10609664,For
10609665,For
10609666,For
10609667,For
10609668,For
10609669,For
10609670,For
10609671,For
10609672,For
10609673,For
10609674,Against
11187047,For
11187048,For
11187049,For
11187050,For
11187051,For
11187052,For
11187053,For
11187054,For
11187055,For
11187056,For
11187057,For
11187058,For
11187059,For
11187060,For
11187061,1 Year
11187062,For
11187063,For
11187064,For
11187065,For
11895780,For
11895781,For
11895782,For
11895783,For
11895784,For
11895785,For
11895786,For
11895787,For
11895788,For
11895789,For
11895790,For
11895902,For
11895903,For
11895904,For
12614985,For
12614986,For
12614987,For
12614988,For
12614989,For
12614990,For
12614991,For
12614992,For
12614993,For
12614994,For
12614995,Against
12614996,For
12614997,For
13315519,For
13315520,For
13315521,For
13315522,For
13315523,For
13315524,For
13315525,For
13315526,For
13315527,For
13315528,For
13315529,For
13315530,Against
13997351,For
13997352,For
13997353,For
13997354,For
13997355,For
13997356,For
13997357,For
13997358,For
13997359,For
13997360,For
13997361,For
13997362,For
13997363,For
13997364,Against
7289036,For
7289037,Withhold
7289038,For
7289039,For
7542799,For
7542800,Withhold
7542801,For
7542802,For
7542803,For
7542804,For
7542805,For
7893017,For
7893018,For
7893019,For
7893020,For
8237152,For
8237263,For
8237264,Withhold
8237265,For
8237266,For
8583299,For
8583300,Withhold
8583301,For
8583302,For
8583303,1 Year
8583304,For
9043817,For
9043818,For
9043819,For
9043820,For
9043821,For
9465608,For
9465609,Withhold
9465610,For
9465611,For
9465612,For
11004048,For
11004049,For
11004050,For
11004051,For
11278934,For
11278935,For
11278936,For
11278937,Withhold
11278938,For
11278939,For
11278940,For
11278941,For
11278942,For
11278943,For
11278944,1 Year
11278945,For
7335899,Withhold
7335900,For
7335901,For
7656493,For
7656494,For
7656495,For
7656496,For
7994533,For
7994534,For
7994535,For
7994536,For
7994537,For
7994538,For
7994539,For
8342707,For
8342708,For
8342709,For
8342710,1 Year
8342711,For
9619606,For
9619607,For
9619608,For
9619609,For
9619610,For
10161939,For
10161940,For
10161941,For
10161942,For
10161943,For
7294752,For
7294761,For
7294753,For
7294754,For
7294755,For
7294756,For
7294757,For
7294758,For
7294759,For
7294760,For
7294762,For
7294763,For
7294767,For
7622950,For
7622959,For
7622951,For
7622952,For
7622953,For
7622954,For
7622955,For
7622956,For
7622957,For
7622958,For
7622960,For
7975439,For
7975448,For
7975440,For
7975441,For
7975442,For
7975443,For
7975444,For
7975445,For
7975446,For
7975447,For
7975449,For
7975450,For
7975451,For
7975452,Against
7975453,For
7975454,Against
8313672,For
8313681,For
8313673,For
8313674,For
8313675,For
8313676,For
8313677,For
8313678,For
8313679,For
8313680,For
8313682,For
8313684,For
8313683,For
8313688,1 Year
8313685,Against
8313687,Against
8313686,For
8678105,For
8678114,For
8678106,For
8678107,For
8678108,For
8678109,For
8678110,For
8678111,For
8678112,For
8678113,For
8678115,For
8678116,For
8678117,For
8678118,For
8678119,Against
8678120,For
9148911,For
9148920,For
9148912,For
9148913,For
9148914,For
9148915,Withhold
9148916,For
9148917,Withhold
9148918,Withhold
9148919,For
9148921,For
9148922,For
9148923,For
9148924,For
9148925,For
9148926,For
9148927,For
9148928,Against
9148929,For
9148930,For
9148931,For
9578675,For
9578684,For
9578676,For
9578677,For
9578678,For
9578679,For
9578680,For
9578681,For
9578682,For
9578683,For
9578685,For
9578686,For
9578687,For
9578688,For
9578689,Withhold
9578691,For
9578692,For
9578693,For
9578694,For
9578695,For
10067852,For
10067853,For
10067854,For
10067855,For
10067856,For
10067857,For
10067858,For
10067859,For
10067860,For
10067861,For
10067862,For
10067863,For
10067864,For
10067865,For
10067866,For
10067867,Against
10067868,For
10067869,Against
10067876,Against
10067880,For
10609625,For
10609634,For
10609626,For
10609627,For
10609628,For
10609629,For
10609630,For
10609631,For
10609632,For
10609633,For
10609635,For
10609636,For
10609637,For
10609638,For
10609639,Against
10609640,For
11187851,For
11187860,For
11187852,For
11187853,For
11187854,For
11187855,For
11187856,For
11187857,For
11187858,For
11187859,For
11187861,For
11187862,For
11187863,For
11187864,For
11187865,For
11187866,Against
11187867,1 Year
11187868,For
11187869,For
11187870,For
11187871,Against
11894944,For
11894953,For
11894945,For
11894946,For
11894947,For
11894948,For
11894949,For
11894950,For
11894951,For
11894952,For
11894954,For
11894955,For
11894956,For
11894957,For
11894987,For
11894988,Against
11894989,For
11895004,Against
12616763,For
12616772,For
12616764,For
12616765,For
12616766,For
12616767,For
12616768,For
12616769,For
12616770,For
12616771,For
12616773,For
12616774,For
12616775,For
12616776,For
12616777,For
12616778,For
12616779,For
12616780,For
12616781,Against
12616782,Against
14010436,For
14010445,For
14010437,For
14010438,For
14010439,For
14010440,For
14010441,For
14010442,For
14010443,For
14010444,For
14010446,For
14010447,For
14010448,For
14010449,For
14010450,For
14010451,For
14010452,For
14010453,For
7298033,For
7298042,For
7298034,For
7298035,For
7298036,For
7298037,For
7298038,Withhold
7298039,For
7298040,For
7298041,For
7298043,For
7298044,For
7298045,For
7616917,For
7616926,For
7616918,For
7616919,For
7616920,For
7616921,For
7616922,For
7616923,For
7616924,For
7616925,For
7616927,For
7616928,For
7616929,For
7616930,For
7963553,For
7963554,For
7963555,For
7963556,For
7963557,For
7963558,For
7963559,For
7963560,For
7963561,For
7963562,For
7963563,For
7963564,For
7963565,For
8292207,For
8292208,For
8292209,For
8292210,For
8292211,For
8292212,For
8292213,For
8292214,For
8292215,For
8292216,For
8292217,For
8292218,For
8292219,1 Year
8292220,For
8669258,For
8669259,For
8669260,For
8669261,For
8669262,For
8669263,For
8669264,For
8669265,For
8669266,For
8669267,For
8669268,For
8669269,For
8669270,For
8669271,For
9130801,For
9130802,For
9130803,For
9130804,For
9130805,For
9130806,For
9130807,For
9130808,For
9130809,For
9130810,For
9130811,For
9130812,For
9130813,For
9130814,For
9559451,For
9559452,For
9559453,For
9559454,For
9559455,For
9559456,For
9559457,For
9559458,For
9559459,For
9559460,For
9559461,For
9559462,For
9559482,For
9559463,For
9559464,For
9559483,For
9559484,For
9559485,For
9559486,For
10022675,For
10022676,For
10022677,For
10022678,For
10022679,For
10022680,For
10022681,For
10022682,For
10022683,For
10022684,For
10022685,For
10022686,For
10022687,For
10022688,For
10022689,For
10022690,For
10560038,For
10560039,For
10560040,For
10560041,For
10560042,For
10560043,For
10560044,For
10560045,For
10560046,For
10560047,For
10560048,For
10560049,For
10560050,For
10560051,For
11162965,For
11162966,For
11162967,For
11162968,For
11162969,For
11162970,For
11162971,For
11162972,For
11162973,For
11162974,For
11162975,For
11162976,1 Year
11162977,For
11865607,For
11865608,For
11865609,For
11865610,For
11865611,For
11865612,For
11865613,For
11865614,For
11865615,For
11865616,For
11865617,For
11865618,For
11865619,For
11865620,For
11865621,For
12586687,For
12586688,For
12586689,For
12586690,For
12586691,For
12586692,For
12586693,For
12586694,For
12586695,For
12586696,For
12586697,For
12586698,For
12586699,For
12586700,For
13272068,For
13272069,For
13272070,For
13272071,For
13272072,For
13272073,For
13272074,For
13272075,For
13272076,For
13272077,For
13272078,For
13272079,For
13272080,For
13272081,For
13272082,For
13970980,For
13970981,For
13970982,For
13970983,For
13970984,For
13970985,For
13970986,For
13970987,For
13970988,For
13970989,For
13970990,For
13970991,For
13970992,For
13970993,For
7541704,For
7541705,For
7541706,For
7541707,For
7541708,For
7541709,Against
7884463,For
7884464,For
7884465,For
7884466,For
7888841,Against
8225251,For
8225252,For
8225253,For
8225254,For
11613039,For
11613040,For
11613041,For
11613042,For
11613043,1 Year
11613044,For
11613045,For
12722874,For
12722875,For
12722876,For
12722877,For
12722878,For
12722879,For
12722880,For
13374706,For
13374707,For
13374708,For
13374709,For
13374710,For
13374711,For
13374712,For
13374713,For
13374714,For
11231445,For
11231446,Withhold
11231447,For
11231448,For
11231449,For
11231450,For
11231451,1 Year
11231452,For
14054391,For
14054392,For
14054393,For
14054394,For
14054395,For
14054396,For
14054397,For
14054398,For
7329346,For
7329355,For
7329347,For
7329348,For
7329349,For
7329350,Withhold
7329351,Withhold
7329352,For
7329353,For
7329354,For
7329356,For
7329357,For
7329358,For
7329359,For
7626688,For
7626689,For
7626690,For
7626691,For
7626692,For
7626693,For
7626694,For
7626695,For
7626696,For
7626697,For
7626698,For
7626699,For
7626700,For
7626701,For
7626702,For
7967354,For
7967355,For
7967356,For
7967357,For
7967358,For
7967359,For
7967360,For
7967361,For
7967362,For
7967363,For
7967364,For
7967365,For
7967366,For
7967367,For
8316770,For
8316771,For
8316772,For
8316773,For
8316774,For
8316775,For
8316776,For
8316777,For
8316778,For
8316779,For
8316780,For
8316781,For
8316782,For
8316783,For
8316784,For
8316785,1 Year
8669361,For
8669362,For
8669363,For
8669364,For
8669365,For
8669366,For
8669367,For
8669368,For
8669369,For
8669370,For
8669371,For
8669372,For
9583269,For
9583270,For
9583271,For
9583272,For
9583273,For
9583274,For
9583275,For
9583276,For
9583277,For
9583278,For
9583279,For
9583280,For
9583281,For
9583282,For
9583283,Against
10047649,For
10047650,For
10047651,For
10047652,For
10047653,For
10047654,For
10047655,For
10047656,For
10047657,For
10047658,For
10047659,For
10047660,For
10047661,For
10047662,For
10047663,For
10047664,For
10611908,For
10611909,For
10611910,For
10611911,For
10611912,For
10611913,For
10611914,For
10611915,For
10611916,For
10611917,For
10611918,For
7672467,For
7672468,For
7672469,For
7672470,For
7672471,For
7672472,For
7672473,For
7672474,For
8027741,For
8027742,For
8027743,For
8027744,For
8027745,For
8027746,For
8027747,For
8027748,For
8367853,For
8367854,For
8367855,For
8367856,For
8367857,For
8367858,For
8367859,For
8367867,For
8367868,1 Year
9655508,For
9655509,For
9655510,For
9655511,For
9655512,For
9655513,For
9655514,For
11304281,For
11304282,For
11304283,For
11304284,For
11304285,For
11304286,For
11304287,1 Year
11304288,For
11304289,For
11304290,For
7352998,For
7352999,For
7353000,For
7353001,Withhold
7353002,For
7353003,For
7702149,Against
7702150,Against
7702151,For
7702152,For
7702153,For
7702154,For
7702155,Against
8026931,Against
8026932,For
8026933,For
8026934,For
8026935,For
8026936,For
8026937,For
8026938,For
8724414,For
8724415,For
8724416,For
8724417,For
8724418,For
8724419,For
8724420,Against
8724421,For
9170807,For
9170808,For
9170809,For
9170810,For
9170811,For
9170812,For
9170813,For
9170814,For
9170815,For
9170816,Against
9170817,For
10631241,For
10631242,For
10631243,For
10631244,For
10631245,For
10631246,For
10631247,For
10631248,For
10631249,For
10631250,For
10631251,For
10631252,For
10631253,For
11216003,For
11216004,For
11216005,For
11216006,For
11216007,For
11216008,For
11216009,For
11216010,For
11216011,For
11216012,For
11216013,For
11216014,For
11216015,For
11216016,1 Year
11216017,For
11918511,For
11918512,For
11918513,For
11918514,For
11918515,For
11918516,For
11918517,For
11918518,For
11918519,For
11918520,For
11918521,For
11918522,For
11918523,For
11918524,For
11918525,For
12630730,For
12630731,For
12630732,For
12630733,For
12630734,For
12630735,For
12630736,For
12630737,For
12630738,For
12630739,For
12630740,For
12630741,For
12630742,For
12630743,For
13307223,For
13307224,For
13307225,For
13307226,For
13307227,For
13307228,For
13307229,For
13307230,For
13307231,For
13307232,For
13307233,For
13307234,For
13307235,For
13307236,For
13307237,For
8029526,For
8029527,For
8029528,For
8029529,For
8029530,For
8029531,For
8029532,For
8029533,Withhold
8029534,For
8029535,For
8029536,For
8730239,Withhold
8730240,Withhold
8730241,Withhold
8730242,Withhold
8730243,Withhold
8730244,Withhold
8730245,Withhold
8730246,Withhold
8730247,Against
8730248,For
8730249,For
8730250,1 Year
11951082,For
11951083,For
11951084,For
11951085,For
11951086,For
11951087,For
11951088,For
11951089,Against
11951090,For
11951091,For
11951092,For
7971068,For
7971069,For
7971070,For
7699567,For
7699568,For
7699569,For
7699570,For
7699571,For
7699572,For
7699573,For
7699574,For
7699575,For
8060139,Withhold
8060140,For
8060141,For
8060142,For
8060143,For
8060144,Withhold
8060145,Withhold
8060146,For
8060147,Against
8380314,Withhold
8380315,For
8380316,For
8380317,For
8380318,For
8380319,Withhold
8380320,Withhold
8380321,For
8380322,Against
8380323,For
8380324,1 Year
12021422,For
12021423,For
12021424,For
12021425,For
12021426,For
12021427,For
12021428,For
12021429,For
12021430,For
12021431,For
12021432,For
12021433,For
12732463,For
12732464,For
12732465,For
12732466,For
12732467,For
12732468,For
12732469,For
12732470,For
12732471,For
12732472,For
12732473,For
13385679,For
13385680,For
13385681,For
13385682,For
13385683,For
13385684,For
13385685,For
13385686,For
13385687,For
13385688,For
13385689,For
14119168,For
14119169,For
14119170,For
14119171,For
14119172,For
14119173,For
14119174,For
14119175,For
14119194,For
14119195,For
14119196,For
7292441,For
7292442,For
7292443,For
7292444,For
7292445,Against
7292446,For
7636282,Against
7636283,For
7636284,Against
7636285,Against
7636286,For
7636287,Against
7636288,For
7986487,For
7986488,For
7986489,For
7986490,For
7986491,For
7990022,For
8326954,For
8326955,For
8326956,For
8326960,For
8326957,For
8326958,1 Year
8326959,For
8326961,For
8326962,For
8690545,For
8690546,For
8690547,For
8690548,For
8690549,For
8690550,For
8690551,Against
8690552,For
8690553,For
8690554,For
9152321,For
9152322,For
9152323,Against
9152324,For
9152325,For
9152333,For
9152334,Against
9152338,Against
9152326,For
9152327,For
9152328,For
9582767,For
9582768,For
9582769,For
9582770,For
9582771,For
9582772,For
9582773,For
9582774,For
9582778,For
9582779,For
9582780,For
9582781,For
9582775,For
9582776,For
10062579,For
10062580,For
10062581,For
10062582,For
10062583,For
10062584,For
10062585,For
10062586,For
10062587,For
10062588,For
10062589,For
10062590,For
10062591,For
10604122,For
10604123,For
10604124,For
10604125,For
10604126,For
10604127,For
10604128,For
10604129,For
10604130,For
10604131,For
10604132,For
10604133,For
10604134,For
10604135,For
10604136,For
11188001,For
11188002,For
11188003,For
11188004,Against
11188005,For
11188006,For
11188007,For
11188008,For
11188009,For
11188010,For
11188011,For
11188012,For
11188013,For
11188014,1 Year
11188015,For
11188016,For
11892537,For
11892538,For
11892539,Against
11892540,For
11892541,For
11892542,For
11892543,For
11892544,For
11892545,For
11892546,For
11892547,Against
11892548,For
11892549,For
11892595,For
12619366,For
12619367,For
12619368,Against
12619369,For
12619370,For
12619371,For
12619372,For
12619373,For
12619374,Against
12619375,For
12619376,For
12619377,For
12619378,For
12619379,For
13311378,For
13311379,For
13311380,For
13311381,For
13311382,For
13311383,For
13311384,For
13311385,For
13311386,For
13311387,For
13311388,Against
13311389,For
13311390,For
14019346,For
14019347,For
14019348,For
14019349,For
14019350,For
14019351,For
14019352,For
14019353,For
14019354,For
14019355,For
14019356,For
14019357,For
14019358,For
14019359,For
14019360,For
7319301,For
7319310,For
7319302,Withhold
7319303,For
7319304,For
7319305,For
7319306,For
7319307,For
7319308,For
7319309,For
7319311,For
7319312,Withhold
7319313,For
7319314,For
7643969,Against
7643970,For
7643971,Against
7643972,For
7643973,Against
7643974,For
7643975,Against
7643976,Against
7643977,For
7643978,For
7643979,Against
7643980,For
8002586,Against
8002587,For
8002588,For
8002589,For
8002590,Against
8002591,For
8002592,Against
8002593,For
8002594,Against
8002595,Against
8002596,For
8002597,For
8002598,For
8002599,Against
8002600,For
8002601,Against
8002602,Against
7282707,Withhold
7282708,For
7282709,For
7282710,For
7282711,For
7282712,For
7282713,Against
7282714,For
7282715,For
7282716,For
7282717,For
7610286,For
7610287,For
7610288,Against
7610289,For
7610290,For
7610291,For
7971929,For
7971930,Against
7971931,For
7971932,For
7971933,For
7971934,For
8311476,For
8311477,For
8311478,For
8311479,For
8311480,For
8311481,For
8311482,For
8311483,For
8311484,1 Year
8677975,For
8677976,For
8677977,For
8677978,For
8677979,For
8677980,For
7369416,For
7369417,For
7369418,For
7369419,For
7369420,For
7369421,For
7369422,For
7369423,For
7369424,For
7369425,Against
7369426,Against
7644057,For
7644058,For
7644059,For
7644060,For
7644061,For
7644062,For
7644063,For
7644064,For
7644065,For
7644066,Against
7644067,Against
7976123,For
7976124,For
7976125,For
7976126,For
7976127,For
7976128,For
7976129,For
7976130,For
7976131,For
8687569,For
8687570,For
8687571,For
8687572,For
8687573,For
8687574,For
8687575,For
8687576,For
8687577,For
8687578,For
8687579,Against
9154629,For
9154630,For
9154631,For
9154632,For
9154633,For
9154634,For
9154635,For
9154636,For
9154637,For
9154638,For
9154639,For
10386244,For
10386253,For
10386245,For
10386246,Withhold
10386247,For
10386248,For
10386249,For
10386250,For
10386251,For
10386252,Withhold
10386254,For
10386255,For
10601288,For
10601297,For
10601289,For
10601290,For
10601291,For
10601292,For
10601293,For
10601294,For
10601295,For
10601296,For
10601298,For
11180410,For
11180419,For
11180411,For
11180412,For
11180413,For
11180414,For
11180415,For
11180416,For
11180417,For
11180418,For
11180434,For
11180435,For
11180436,1 Year
11925975,For
11925976,For
11925977,For
11925978,For
11925979,For
11925980,For
11925981,For
11925982,Withhold
11925983,For
11925984,For
11925985,For
12607128,For
12607129,For
12607130,For
12607131,For
12607132,For
12607133,For
12607134,For
12607135,For
12607136,For
12607137,For
12607138,Against
13299920,For
13299921,For
13299922,For
13299923,For
13299924,For
13299925,For
13299926,For
13299927,For
13299928,For
13299929,For
13299930,For
13299931,For
14003160,For
14003161,For
14003162,For
14003163,For
14003164,For
14003165,For
14003166,For
14003167,For
14003168,For
14003169,For
7292014,For
7292015,For
7292016,For
7292017,For
7292018,For
7292019,For
7292020,For
7624986,For
7624987,For
7624988,For
7624989,For
7624990,For
7624991,For
7978156,For
7978157,For
7978158,For
7978159,For
7978160,For
7978161,For
7978162,For
7978163,Against
7978164,Against
8318423,For
8318424,For
8318425,For
8318433,For
8318426,For
8318427,For
8318428,For
8318429,1 Year
8318430,Against
8318431,For
8680209,For
8680210,For
8680211,For
8680212,For
8680213,For
8680214,For
8680215,For
8680216,For
8680446,Against
8680447,For
9137212,For
9137213,For
9137214,For
9137215,For
9137216,For
9137217,For
9137218,For
9137219,For
9137220,For
9137221,For
9137222,For
9137223,For
9137224,For
9137225,For
9137226,For
9137227,For
9137228,Against
9137229,Against
9584198,For
9584199,For
9584200,For
9584201,For
9584202,For
9584203,For
9584204,For
9584205,For
9584206,For
9584207,For
9584208,For
9584209,For
9584210,For
9584211,For
9584212,For
9584213,For
9584214,For
9584215,For
10047285,For
10047286,For
10047287,For
10047288,For
10047289,For
10047290,For
10047291,For
10047292,For
10047293,For
10047294,For
10047295,For
10047296,For
10047297,For
10047298,For
10047299,For
10047300,For
10047301,For
10047302,For
10047303,For
10592750,For
10592751,For
10592752,For
10592753,For
10592754,For
10592755,For
10592756,For
10592757,For
10592758,For
10592759,Against
10592760,For
10592761,For
10592762,For
10592763,For
10592764,For
10592793,For
10592794,For
10592795,For
10592796,Against
11169304,For
11169305,For
11169306,For
11169307,For
11169308,For
11169309,For
11169310,For
11169311,For
11169312,For
11169313,For
11169314,For
11169315,For
11169316,For
11169317,For
11169318,For
11169319,1 Year
11876111,For
11876112,For
11876113,For
11876114,For
11876115,For
11876116,For
11876117,Against
11876118,For
11876119,For
11876120,For
11876121,For
11876122,For
11876123,For
11876124,For
11876125,For
11876126,Against
12597235,For
12597236,For
12597237,For
12597238,For
12597239,For
12597240,Against
12597241,For
12597242,For
12597243,For
12597244,For
12597245,For
12597246,For
12597247,For
12597248,For
12597249,For
12597250,For
13299070,For
13299071,For
13299072,For
13299073,For
13299074,For
13299075,For
13299076,For
13299077,For
13299078,For
13299079,For
13299080,For
13299081,For
13299082,For
13299083,For
13299084,Against
14002853,For
14002854,For
14002855,For
14002856,For
14002857,For
14002858,For
14002859,For
14002860,For
14002861,For
14002862,For
14002863,For
14002864,For
14002865,Against
14002866,For
14002867,For
14002868,Against
11516321,For
11516322,For
11516323,For
11516324,For
11516325,For
11516326,For
11516327,For
11516328,For
11516329,Against
11516330,For
11516331,For
11516332,1 Year
7822408,Withhold
7822409,Withhold
7822410,Against
7822411,For
8166726,For
8166727,For
8166728,For
8166729,For
8166730,For
8166731,Against
8519253,For
8519254,For
8519255,For
8519256,For
8519257,1 Year
7465911,Against
7465912,For
7465913,For
7465914,For
7465915,For
7465916,For
7465917,Against
7465918,Against
7465919,For
7465920,For
7465921,For
7802537,Against
7802538,For
7802539,For
7802540,For
7802541,For
7802542,For
7802543,For
7802544,For
7802545,Against
7802546,Against
7802547,Against
7802548,Against
7802549,Against
7802550,For
8156835,Against
8156836,For
8156837,For
8156838,Against
8156839,Against
8156840,For
8156841,For
8156842,For
8156843,Against
8156844,Against
8156845,For
8156846,For
8156847,For
8503995,For
8503996,Against
8503997,Against
8503998,Against
8503999,For
8504000,For
8504001,For
8504002,Against
8504003,For
8504004,For
8504005,For
8504006,For
8504007,Against
8504008,1 Year
8504009,For
8907048,For
8907049,For
8907050,Against
8907051,For
8907052,Against
8907053,For
8907054,For
8907055,For
8907056,Against
8907057,For
8907058,Against
8907059,For
8907060,For
8907061,For
9362277,For
9362278,For
9362279,Against
9362280,For
9362281,For
9362282,For
9362283,For
9362284,For
9362285,Against
9362286,For
9362287,For
9362288,For
10314980,For
10314981,For
10314982,Against
10314983,For
10314984,For
10314985,For
10314986,For
10314987,For
10314988,For
10314989,For
10314990,For
10314991,For
10870665,For
10870666,For
10870667,For
10870668,For
10870669,For
10870670,For
10870671,For
10870672,For
10870673,For
10870674,For
10870675,For
10870676,For
10870677,For
10870678,For
10870679,For
11494767,For
11494768,For
11494769,For
11494770,For
11494771,For
11494772,For
11494773,For
11494774,For
11494775,For
11494776,For
11494777,For
11494778,1 Year
11494779,For
12241004,For
12241005,For
12241006,For
12241007,For
12241008,For
12241009,For
12241010,For
12241011,For
12241012,For
12241013,Against
12241014,For
12968302,For
12968303,For
12968304,For
12968305,For
12968306,For
12968307,For
12968308,For
12968309,For
12968310,For
12968311,For
12968312,For
12968313,For
12968314,Abstain
12968315,For
13640672,For
13640673,For
13640674,For
13640675,For
13640676,For
13640677,For
13640678,For
13640679,For
13640680,For
13640681,Against
13640682,For
13640683,For
14378570,For
14378571,For
14378572,For
14378573,For
14378574,For
14378575,For
14378576,For
14378577,For
14378578,Against
14378579,For
14378580,Abstain
14378581,For
7266715,For
7266716,Against
7266717,For
7266718,For
7266719,Against
7266720,For
7266721,For
7266722,For
7266723,For
7266724,Against
7266725,Against
7266726,For
7266727,For
7266728,For
7266729,For
7266730,For
7748268,Withhold
7748269,For
7748270,For
7748271,For
7748272,For
7748273,Withhold
7748274,For
7748275,For
7748276,Against
7748277,Against
7748278,Against
7748279,For
8385095,For
8385096,For
8385097,For
8385098,For
8385099,For
8385100,For
8385101,For
8385102,Against
8385103,Against
8385104,1 Year
8385105,For
10125808,For
10125809,For
10125810,For
10125811,For
10125812,For
10125813,For
10125819,Against
10125820,For
10651193,For
10651194,For
10651195,For
10651196,For
10651197,For
10651198,For
10651199,Against
10651200,For
7234867,For
7234868,For
7234869,For
7234870,For
7234871,For
7559894,For
7559895,Withhold
7559896,For
7559897,For
7559898,For
7559899,For
7559900,For
7908383,For
7908384,Withhold
7908385,Withhold
7908386,For
7908387,For
7908388,For
7908389,For
7908390,For
8245642,For
8245643,For
8245644,For
8245645,For
8245646,For
8245647,For
8245648,For
8245649,For
8245650,For
8245651,1 Year
8245652,Against
8603325,For
8603326,Withhold
8603327,For
8603328,For
8603329,For
8603330,For
8603331,For
8603332,For
8603333,Against
8603334,For
9062023,For
9062024,For
9062025,For
9062026,Withhold
9062027,For
9062028,For
9062029,For
9062030,For
9062031,Against
9946256,For
9946257,For
9946258,For
9946259,For
9946282,For
9946260,For
9946261,For
9946280,For
9946262,For
9946263,Against
9946264,Against
9946265,For
10464725,For
10464726,Withhold
10464727,For
10464728,For
10464729,For
10464730,For
10464737,For
